stock_id,name,eps_Y,eps_ttm,per_Y,per_ttm,rev,rev_mom,rev_qoq,rev_yoy,gross_margin,gross_margin_qoq,gross_margin_yoy_diff,operating_margin,operating_margin_qoq,operating_margin_yoy_diff,net_margin,net_margin_qoq,net_margin_yoy_diff,per_latest,per_90d_high,per_90d_low,pbr_latest,pbr_90d_high,pbr_90d_low,static_updated_at,static_status,static_reason,eps_status,eps_reason,revenue_status,revenue_reason,profit_status,profit_reason,valuation_status,valuation_reason
0056,元大高股息,,,,,,,,,,,,,,,,,,,,,,,,2026-05-03 11:34:39,partial_ok,"no_data:eps,revenue,profit,valuation",no_data,empty,no_data,empty,no_data,empty,no_data,empty
00878,國泰永續高股息,,,,,,,,,,,,,,,,,,,,,,,,2026-05-03 11:34:44,partial_ok,"no_data:eps,revenue,profit,valuation",no_data,empty,no_data,empty,no_data,empty,no_data,empty
00919,群益台灣精選高息,,,,,,,,,,,,,,,,,,,,,,,,2026-05-03 11:34:47,partial_ok,"no_data:eps,revenue,profit,valuation",no_data,empty,no_data,empty,no_data,empty,no_data,empty
00941,中信上游半導體,,,,,,,,,,,,,,,,,,,,,,,,2026-05-03 11:34:52,partial_ok,"no_data:eps,revenue,profit,valuation",no_data,empty,no_data,empty,no_data,empty,no_data,empty
1101,台泥,-1.61,-1.62,,,124.13,44.44,-12.71,-8.97,18.49,-4.15,-4.8,3.76,-9.4,-7.12,-3.9,26.27,-14.63,0.0,0.0,0.0,0.81,0.91,0.75,2026-05-03 11:34:56,incomplete,eps:incomplete(partial),incomplete,partial,ok,,ok,,ok,
1216,統一,3.46,3.49,0.29,0.29,573.79,11.34,9.69,2.58,31.73,-1.78,0.12,2.59,-3.35,-0.6,3.15,-2.08,-0.25,20.09,23.13,20.09,2.9,3.58,2.9,2026-05-03 11:35:00,ok,,ok,,ok,,ok,,ok,
1319,東陽,6.43,5.97,0.16,0.17,20.45,42.56,-2.29,-19.85,33.68,5.68,-0.83,18.07,6.62,-1.23,19.15,6.75,0.38,11.63,17.61,11.45,1.58,2.55,1.55,2026-05-03 11:35:05,ok,,ok,,ok,,ok,,ok,
1532,勤美,0.99,0.98,1.01,1.02,12.37,27.09,21.56,14.11,24.21,-0.34,1.5,5.05,-7.83,5.48,3.64,-6.5,9.37,21.06,91.17,21.06,0.58,0.78,0.58,2026-05-03 11:35:08,ok,,ok,,ok,,ok,,ok,
2313,華通,5.51,5.7,0.18,0.18,69.43,33.49,-3.94,11.12,18.7,-1.25,2.38,10.97,-1.56,2.04,10.79,0.04,2.43,44.37,51.91,16.6,6.09,7.12,2.23,2026-05-03 11:35:13,ok,,ok,,ok,,ok,,ok,
2317,鴻海,13.6,14.37,0.07,0.07,8037.38,34.9,-6.85,45.57,5.88,-0.47,-0.27,3.28,-0.15,0.25,2.06,-1.15,-0.4,16.19,18.07,13.83,1.73,2.1,1.48,2026-05-03 11:35:19,ok,,ok,,ok,,ok,,ok,
2330,台積電,66.26,69.99,0.02,0.01,4151.92,30.7,23.94,45.19,62.33,2.88,3.33,54.0,3.42,4.98,48.31,2.67,5.19,32.23,34.19,23.37,10.22,10.84,7.42,2026-05-03 11:35:24,ok,,ok,,ok,,ok,,ok,
2404,漢唐,48.08,53.36,0.02,0.02,76.93,17.07,5.68,100.58,17.19,-2.99,-3.48,13.88,-2.76,-2.98,12.87,-2.99,-3.1,19.75,25.83,17.07,9.62,13.85,8.31,2026-05-03 11:35:28,ok,,ok,,ok,,ok,,ok,
2881,富邦金,8.37,7.82,0.12,0.13,132.38,-54.93,-68.96,-57.44,,,,,,,,,,11.61,12.45,11.05,1.43,1.59,1.37,2026-05-03 11:35:32,partial_ok,no_data:profit,ok,,ok,,no_data,empty,ok,
2885,元大金,2.74,3.0,0.36,0.33,124.21,-6.72,-0.88,22.15,,,,,,,,,,19.05,19.09,14.06,2.04,2.05,1.52,2026-05-03 11:35:35,partial_ok,no_data:profit,ok,,ok,,no_data,empty,ok,
2891,中信金,4.08,4.28,0.25,0.23,130.95,-37.37,-42.68,-31.27,,,,,,,,,,13.08,15.19,12.17,2.04,2.29,1.84,2026-05-03 11:35:40,partial_ok,no_data:profit,ok,,ok,,no_data,empty,ok,
4749,新應材,11.32,11.83,0.09,0.08,4.33,-2.87,20.09,32.67,44.02,1.75,5.99,23.34,-0.98,8.04,24.17,-3.04,5.26,88.7,98.54,70.43,10.08,10.59,7.95,2026-05-03 11:35:43,ok,,ok,,ok,,ok,,ok,
4772,台特化,5.41,5.76,0.18,0.17,2.8,-3.22,-11.42,289.69,48.92,-5.24,-9.23,38.48,-4.17,-8.21,32.51,-3.76,-18.4,73.33,105.32,65.48,12.23,16.63,10.92,2026-05-03 11:35:47,ok,,ok,,ok,,ok,,ok,
5871,中租-KY,11.24,11.15,0.09,0.09,84.15,12.15,2.08,-2.86,65.76,0.07,-0.25,29.24,2.43,6.62,20.9,1.16,3.45,10.86,11.42,9.54,1.18,1.24,1.04,2026-05-03 11:35:50,ok,,ok,,ok,,ok,,ok,
7728,光焱科技,4.95,5.48,0.2,0.18,0.32,-2.25,-38.75,-18.5,70.34,4.68,2.98,34.34,29.72,7.77,32.41,18.3,11.06,140.85,276.0,128.15,12.75,17.49,8.12,2026-05-03 11:35:53,ok,,ok,,ok,,ok,,ok,
00679B,元大美債20年,,,,,,,,,,,,,,,,,,,,,,,,2026-05-03 11:35:56,partial_ok,"no_data:eps,revenue,profit,valuation",no_data,empty,no_data,empty,no_data,empty,no_data,empty
00687B,國泰20年美債,,,,,,,,,,,,,,,,,,,,,,,,2026-05-03 11:35:59,partial_ok,"no_data:eps,revenue,profit,valuation",no_data,empty,no_data,empty,no_data,empty,no_data,empty
00937B,群益ESG投等債20+,,,,,,,,,,,,,,,,,,,,,,,,2026-05-03 11:36:01,partial_ok,"no_data:eps,revenue,profit,valuation",no_data,empty,no_data,empty,no_data,empty,no_data,empty
00942B,台新美A公司債20+,,,,,,,,,,,,,,,,,,,,,,,,2026-05-03 11:36:04,partial_ok,"no_data:eps,revenue,profit,valuation",no_data,empty,no_data,empty,no_data,empty,no_data,empty
00950B,凱基A級公司債,,,,,,,,,,,,,,,,,,,,,,,,2026-05-03 11:36:06,partial_ok,"no_data:eps,revenue,profit,valuation",no_data,empty,no_data,empty,no_data,empty,no_data,empty
00953B,群益優選非投等債,,,,,,,,,,,,,,,,,,,,,,,,2026-05-03 11:36:09,partial_ok,"no_data:eps,revenue,profit,valuation",no_data,empty,no_data,empty,no_data,empty,no_data,empty
